DateTime;Players;Average Players;Twitch Viewers;game
17.08.22 00:00;8545;;659;forza_horizon_5
18.08.22 00:00;12398;;1395;forza_horizon_5
19.08.22 00:00;11529;;2687;forza_horizon_5
20.08.22 00:00;11512;;1257;forza_horizon_5
21.08.22 00:00;11138;;1344;forza_horizon_5
22.08.22 00:00;9177;;679;forza_horizon_5
23.08.22 00:00;9044;;2816;forza_horizon_5
24.08.22 00:00;8964;;5904;forza_horizon_5
25.08.22 00:00;11417;;1092;forza_horizon_5
26.08.22 00:00;10327;;1368;forza_horizon_5
27.08.22 00:00;10301;;1148;forza_horizon_5
28.08.22 00:00;10107;;2186;forza_horizon_5
29.08.22 00:00;9043;;2058;forza_horizon_5
30.08.22 00:00;8772;;884;forza_horizon_5
31.08.22 00:00;8921;;853;forza_horizon_5
01.09.22 00:00;11151;;956;forza_horizon_5
02.09.22 00:00;10475;;1183;forza_horizon_5
03.09.22 00:00;13435;;7446;forza_horizon_5
04.09.22 00:00;14102;;2233;forza_horizon_5
05.09.22 00:00;13277;;2047;forza_horizon_5
06.09.22 00:00;12874;;997;forza_horizon_5
07.09.22 00:00;13449;;1416;forza_horizon_5
08.09.22 00:00;16337;;1442;forza_horizon_5
09.09.22 00:00;15545;;1255;forza_horizon_5
10.09.22 00:00;16490;;1047;forza_horizon_5
11.09.22 00:00;16877;;7355;forza_horizon_5
12.09.22 00:00;13873;;1671;forza_horizon_5
13.09.22 00:00;14137;;1086;forza_horizon_5
14.09.22 00:00;13230;;12099;forza_horizon_5
15.09.22 00:00;17059;;9065;forza_horizon_5
16.09.22 00:00;15798;;5526;forza_horizon_5
17.09.22 00:00;16269;;5186;forza_horizon_5
18.09.22 00:00;15105;;7219;forza_horizon_5
19.09.22 00:00;11630;;965;forza_horizon_5
20.09.22 00:00;10871;;727;forza_horizon_5
21.09.22 00:00;10855;;1240;forza_horizon_5
22.09.22 00:00;14613;;5903;forza_horizon_5
23.09.22 00:00;13722;8288;4099;forza_horizon_5
24.09.22 00:00;14255;9391;3843;forza_horizon_5
